col_name,data_type,comment
BILL_LIMIT,string,Bill Limit for each customer
BILL_ONEOFF_ADJ_M1,"decimal(20,8)","One-off adjustment amount payment for the first bill in the past six months that required to pay in order to use part of the Service, including but not limited to any non-recurring fee you may be required to pay to use part of the Service"
BILL_ONEOFF_ADJ_M2,"decimal(20,8)","One-off adjustment amount payment for the second bill in the past six months that required to pay in order to use part of the Service, including but not limited to any non-recurring fee you may be required to pay to use part of the Service"
BILL_ONEOFF_ADJ_M3,"decimal(20,8)","One-off adjustment amount payment for the third bill in the past six months that required to pay in order to use part of the Service, including but not limited to any non-recurring fee you may be required to pay to use part of the Service"
BILL_ONEOFF_ADJ_M4,"decimal(20,8)","One-off adjustment amount payment for the fourth bill in the past six months that required to pay in order to use part of the Service, including but not limited to any non-recurring fee you may be required to pay to use part of the Service"
BILL_ONEOFF_ADJ_M5,"decimal(20,8)","One-off adjustment amount payment for the fifth bill in the past six months that required to pay in order to use part of the Service, including but not limited to any non-recurring fee you may be required to pay to use part of the Service"
BILL_ONEOFF_ADJ_M6,"decimal(20,8)",One-off adjustment amount for the sixth bill in the past six months
BILL_ONETIME_M1,"decimal(20,8)",One-time charge amount for the first bill in the past six months
BILL_ONETIME_M2,"decimal(20,8)",Total amount of one-time charges billed in the second month
BILL_ONETIME_M3,"decimal(20,8)",Total amount of one-time charges billed in the third month
BILL_ONETIME_M4,"decimal(20,8)",Total amount of one-time charges billed in the fourth month
BILL_ONETIME_M5,"decimal(20,8)",Total amount of one-time charges billed in the fifth month
BILL_ONETIME_M6,"decimal(20,8)",Total amount of one-time charges billed in the sixth month
BILL_OUTSTANDING_M1,"decimal(20,8)",Total outstanding amount for the first bill in the past six months
BILL_OUTSTANDING_M2,"decimal(20,8)",Total outstanding amount for the second bill in the past six months
BILL_OUTSTANDING_M3,"decimal(20,8)",Total outstanding amount for the third bill in the past six months
BILL_OUTSTANDING_M4,"decimal(20,8)",Total outstanding amount for the fourth bill in the past six months
BILL_OUTSTANDING_M5,"decimal(20,8)",Total outstanding amount for the fifth bill in the past six months
BILL_OUTSTANDING_M6,"decimal(20,8)",Total outstanding amount for the sixth bill in the past six months
BILL_RENTALS_M1,"decimal(20,8)","Total amount that usually refers to recurring charges for subscribed rented package . 
This include monthly service charges for phone lines, internet services, or rented equipment like modems and routers for the first bill in the past six months

"
BILL_RENTALS_M2,"decimal(20,8)","Total amount that usually refers to recurring charges for subscribed rented package . This include monthly service charges for phone lines, internet services, or rented equipment like modems and routers for the second bill in the past six months"
BILL_RENTALS_M3,"decimal(20,8)","Total amount that usually refers to recurring charges for subscribed rented package . This include monthly service charges for phone lines, internet services, or rented equipment like modems and routers for the third bill in the past six months"
BILL_RENTALS_M4,"decimal(20,8)","Total amount that usually refers to recurring charges for subscribed rented package . This include monthly service charges for phone lines, internet services, or rented equipment like modems and routers for the fourth bill in the past six months"
BILL_RENTALS_M5,"decimal(20,8)","Total amount that usually refers to recurring charges for subscribed rented package . This include monthly service charges for phone lines, internet services, or rented equipment like modems and routers for the fifth bill in the past six months"
BILL_RENTALS_M6,"decimal(20,8)","Total amount that usually refers to recurring charges for subscribed rented package . This include monthly service charges for phone lines, internet services, or rented equipment like modems and routers for the sixth bill in the past six months"
BILL_USAGE_CHRGS_M1,"decimal(20,8)",Total amount of usage charges for the first bill in the past six months
BILL_USAGE_CHRGS_M2,"decimal(20,8)",Total amount of usage charges for the second bill in the past six months
BILL_USAGE_CHRGS_M3,"decimal(20,8)",Total amount of usage charges for the third bill in the past six months
BILL_USAGE_CHRGS_M4,"decimal(20,8)",Total amount of usage charges for the fourth bill in the past six months
BILL_USAGE_CHRGS_M5,"decimal(20,8)",Total amount of usage charges for the fifth bill in the past six months
BILL_USAGE_CHRGS_M6,"decimal(20,8)",Total amount of usage charges for the sixth bill in the past six months
BITSTRM_FLAG,string,Flag indicating the presence of a bitstream
BRTH_DT,string,Represents the date of birth for an account owner
CALCRD_IDD_CHRG_OB_MOU_M1,"decimal(20,8)",Calling Card IDD Out of Bundle Usage
CALCRD_IDD_CHRG_OB_REV_M1,"decimal(20,8)",Calling Card IDD Out of Bundle Charges
CALCRD_IDD_FREE_MOU_M1,"decimal(20,8)",Calling Card IDD Free Usage
CALCRD_STD_CHRG_OB_MOU_M1,"decimal(20,8)",Calling Card Local Out of Bundle Usage
CALCRD_STD_CHRG_OB_REV_M1,"decimal(20,8)",Calling Card Local Out of Bundle Charges
CALCRD_STD_FREE_MOU_M1,"decimal(20,8)",Calling Card Local Free Usage
CC_CARD_FLAG,int,Credit Card Flag for recharge
CC_SCND_CRC_CNT_M1,int,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC_CNT_M2,int,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC_CNT_M3,int,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC1_M1,string,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC1_M2,string,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC1_M3,string,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC2_M1,string,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC2_M2,string,Indicates the second most ued reason for contacting the customer care
CC_SCND_CRC2_M3,string,Second level customer churn rate for the third month
CC_SCND_CRC3_M1,string,Second level customer churn rate for the first month
CC_SCND_CRC3_M2,string,Second level customer churn rate for the second month
CC_SCND_CRC3_M3,string,Second level customer churn rate for the third month
CC_SCND_CRC4_M1,string,Second level customer churn rate for the first month
CC_SCND_CRC4_M2,string,Second level customer churn rate for the second month
CC_SCND_CRC4_M3,string,Second level customer churn rate for the third month
CC_THRD_CRC_CNT_M1,int,Third level customer churn count for the first month
CC_THRD_CRC_CNT_M2,int,Third level customer churn count for the second month
CC_THRD_CRC_CNT_M3,int,Third level customer churn count for the third month
CC_THRD_CRC1_M1,string,Third level customer churn rate 1 for the first month
CC_THRD_CRC1_M2,string,Third level customer churn rate 1 for the second month
CC_THRD_CRC1_M3,string,Third level customer churn rate 1 for the third month
CC_THRD_CRC2_M1,string,Third level customer churn rate 2 for the first month
CC_THRD_CRC2_M2,string,Third level customer churn rate 2 for the second month
CC_THRD_CRC2_M3,string,Third level customer churn rate 2 for the third month
CC_THRD_CRC3_M1,string,Third level customer churn rate 3 for the first month
CC_THRD_CRC3_M2,string,Third level customer churn rate 3 for the second month
CC_THRD_CRC3_M3,string,Third level customer churn rate 3 for the third month
CC_THRD_CRC4_M1,string,Third level customer churn rate 4 for the first month
CC_THRD_CRC4_M2,string,Top contact reasons monthly
CC_THRD_CRC4_M3,string,Top contact reasons monthly
CC_TOP_CRC_CNT_M1,int,Indicates the reason for contacting the customer care
CC_TOP_CRC_CNT_M2,int,Indicates the reason for contacting the customer care
CC_TOP_CRC_CNT_M3,int,Indicates the reason for contacting the customer care
CC_TOP_CRC1_M1,string,Indicates the reason for contacting the customer care
CC_TOP_CRC1_M2,string,Indicates the reason for contacting the customer care
CC_TOP_CRC1_M3,string,Indicates the reason for contacting the customer care
CC_TOP_CRC2_M1,string,Indicates the reason for contacting the customer care
CC_TOP_CRC2_M2,string,Indicates the reason for contacting the customer care
CC_TOP_CRC2_M3,string,Indicates the reason for contacting the customer care
CC_TOP_CRC3_M1,string,Indicates the reason for contacting the customer care
CC_TOP_CRC3_M2,string,Top contact reasons monthly
CC_TOP_CRC3_M3,string,Top contact reasons monthly
CC_TOP_CRC4_M1,string,Top contact reasons monthly
CC_TOP_CRC4_M2,string,Top contact reasons monthly
CC_TOP_CRC4_M3,string,Top contact reasons monthly
CDR_DT,date,Data Snapshot Date
CDR_DT_ID,int,"Calendar date expressed in the standard format of the insurance company.
 e.g. 21/05/2004"
CELL_ID_HM,string,Home location is calculated based on usage occurring in the time slot from 8 PM till 7 AM
CELL_ID_MAX,string,Takes all call data records and gets the most used cell id by the mobile user
CELL_ID_WRK,string,Work location is calculated based on usage occurring in the time slot from 8 AM till 7 PM
CESSATION_DT,timestamp,The date when the account was deactivated on the CRM system
CF_FLEXI_NO_ICR_BL_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_FLEXI_NO_ICR_BL_RMNG_CF_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_FLEXI_NO_ICR_NOBL_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_FLEXI_NO_ICR_NOBL_RMNG_CF_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_FLEXI_NO_ICR_PRSTG_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_FLEXI_NO_ICR_PRSTG_RMNG_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_IDD_BL_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_IDD_BL_RMNG_CF_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_IDD_NOBL_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_IDD_NOBL_RMNG_CF_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_IDD_PRSTG_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_IDD_PRSTG_RMNG_CF_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_STD_ALWNC_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CF_STD_RMNG_CF_MIN,"decimal(14,6)","Free call allowances balance for local, IDD and flexi"
CMM_INQRY_CNT_M3,int,CIM Inquiry count
CMM_INQRY_LST_DT,date,Indicates the date of last inquiry raised
CNTRCT_EXP_DT,date,Contract Expriy Date for Rate Plans
CPLN_CNT_BILLING_M1,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_M1,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_M3,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_TECHNICAL_M1,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_WK1,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_WK2,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_WK3,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_CNT_WK4,int,"Compaint Counts including overall, technical, billing and resolved"
CPLN_LST_DT,date,Indicates the date of last complaint date raised
CPLN_RSLV_CNT_M3,int,"Compaint Counts including overall, technical, billing and resolved"
